Title,Price,Area,Location,Description,URL
"Bán nhà mới 100% mới xây tuyệt đẹp 5PN, 5WC, tại đường Số 61, Thảo Điền, Q2, giá thực 16.9 tỷ","16,9 tỷ","78,7 m²","·
Hồ Chí Minh","Bán nhà mới xây tuyệt đẹp 5PN, 5WC, tại 22/4 Đường Số 61, Thảo Điền, Q2, giá thực chính chủ 16.9 tỷ.Dt đất: 7.3 x 13.5 (98m²), DT XD: 7.3 x 11, DT sử dung: 240m² (01 trệt và 2 lầu). DT CN 78.7m².Nhà biệt thự mới 100%, nhà 3 tầng, 5 phòng ngủ, 5 toilet. Khu vực trung tâm Thảo Điền.Ngõ vào rộng 4m, mặt tiền 7.4m, Khu vực yên tĩnh, an ninh, bao quanh bởi nhiều trường học quốc tế, nhiều giáo viên người nước ngoài sinh sống.Pháp lý đầy đủ sổ hồng.Hướn...",
"Chính chủ bán nhà ngay trung tâm Quận 9 cũ, hiện tại có 35 phòng thu nhập 150 triệu/ tháng",41 tỷ,369 m²,"·
Hồ Chí Minh","Bán nhà tại 15A đường 8, khu phố 59, Phường Tăng Nhơn Phú, TP. HCM (Quận 9 cũ). Diện tích 369m² kết cấu nhà gồm hầm, 5 tầng, sân thượng có 34 phòng, 1 căn mặt tiền 30m². Mặt tiền 8m nhà, ngõ vào 10m, cách đường lớn 100m rất thuận lợi cho thuê căn hộ và kinh doanh.- Đang có thu nhập 150 triệu/ tháng. - Pháp lý đầy đủ, sổ đỏ. - Nội thất bao gồm điều hòa, tủ đồ,... - Không gian thoáng đãng, phù hợp với đầu tư cho thuê.Gần các tiện ích như: + Gần trư...",
"Chính chủ 30 năm bán nhà 2 tầng hẻm xe hơi sát Phan Xích Long, 46m2, cho thuê được 20 triệu/tháng","6,9 tỷ",46 m²,"·
Hồ Chí Minh","Tổng giảm 1.1 tỷ chỉ 6.9 tỷ thương lượng.Thông tin nhà bán: - Giá bán: Tổng giảm 1.1 tỷ - Chỉ 6.9 tỷ TL. - Vị trí: Lê Tự Tài - Phường Đức Nhuận (P4 cũ) - Phú Nhuận. - Diện tích: 58m² (3.6m x 16m) vuông vức nở hậu, công nhận 46m², DT sử dụng 88m². - Kết cấu: 1 trệt, 1 lầu, 2 phòng ngủ, 2 toilet, sân để xe, phòng khách, bếp, ban công phơi đồ, giếng trời thoáng mát, chỉ cần sơn phết nhẹ vào ở ngay. - Hẻm xe hơi kinh doanh 4m, vài bước ra mặt tiền. -...",
Diện tích đất 40m2 giá 4 tỷ900 bớt ít Lạc Long Quân P10 Tân Bình nhà cũ có thể cải tạo và xây,"4,9 tỷ",40 m²,"·
Hồ Chí Minh","Mình chính chủ cần bán căn nhà.Bán nhà Lạc Long Quân P10 Tân Bình. Giá 4 tỷ900(TL).Diện tích: 6x7.5m. Sổ công nhận 40m². Kết cấu: 1 trệt. 1 lầu. 3PN. 2WC. Vị trí: Hẻm trước nhà 4m.. Thông tất cả các hướng.. Hẻm yên tĩnh. Gần chợ Tân Bình, Bàu Cát. Hướng Đông. Giá 4 tỷ900 thương lượng. LH Vân. Zalo. 0937 640 ***.",
Nhà 3 tầng 888/26 Lạc Long Quân P8 Tân Bình giá 4 tỷ 350 gần chợ Tân Bình giáp Quận 10 và 11,"4,35 tỷ","28,6 m²","·
Hồ Chí Minh","Mình chính chủ cần bán căn nhà. Hẻm xe hơi đậu cửa cách 30m ra mặt tiền Lạc Long Quân.Địa chỉ 888/26 Lạc Long Quân P8 Tân Bình. Giá 4 tỷ350(TL).Diện tích: 2.5x12m. Đất thực tế 30m². Sổ công nhận 28.6m².Kết cấu: 1 trệt 2lầu 2PN 2WC. Vị trí Hẻm xe hơi đậu cửa cách 30m ra mặt tiền Lạc Long Quân gần chợ Tân Bình gần chợ Ông Địa gần Bàu Cát giáp quận 10 và 11 thông tất cả các hướng. Buôn bán các như như cơm, nail, tóc, tạp hóa.. v.. v. Hướng tây.Giá 4...",
"Chính chủ bán nhà HXH 6m Lê Trọng Tấn 4,5x14( 63m2), 1T1L. Giá TL: 4tỷ680, sổ riêng bao sang tên","4,68 tỷ",63 m²,"·
Hồ Chí Minh","NHÀ MỚI XÂY CHÍNH CHỦ CẦN BÁN GIÁ: 4 TỶ 680( thương lượng) VỊ TRÍ: 115/ Lê Trọng Tấn, Tân Sơn Nhì, Tân Phú, HCMDiện tích lớn: 4,5x14 (63m²) Kết cấu nhà 1 trệt 1 lầu, 1 sân thượng, nhà mới xây kiên cố rất sạch và thoáng, 3 phòng ngủ (có phòng ngủ dưới trệt)  Mặt tiền trước nhà 6m, xe tải né nhau còn được.  Sổ hồng riêng, không tranh chấp  Vay NH ok Liên hệ chính chủ: 0937 502 *** (Thiên Kim)",
"Nhà đẹp Trần Quý Kiên, Cầu Giấy, DT 38m2, 6 tầng, sổ đỏ, ngõ rộng 8m, full nội thất, nhiều tiện ích",Giá thỏa thuận,38 m²,"·
Hà Nội","Chính chủ chuyển công tác nên cần bán lại căn nhà riêng phố Trần Quý Kiên, Cầu Giấy, Hà Nội. Vị trí đẹp, ngõ rộng, chỉ việc xách vali vào ở.- Diện tích: 38m², mặt tiền 3.15m, 6 tầng, ngõ rộng 8m, ô tô quay đầu. Thiết kế gồm 4PN 3WC, công năng đầy đủ. Full nội thất: Điều hòa, giường, tủ lạnh vào ở ngay.- Tiện ích. Gần ĐH Quốc Gia, Sư Phạm, Thương Mại. Gần chợ, siêu thị, công viên. Khu dân trí cao, an ninh tốt. Phù hợp ở gia đình hoặc cho thuê.Giá ...",
"GIẢM SỐC CÒN 7.9 TỶ  NHÀ ĐƯỜNG QUANG TRUNG, GÒ VẤP","7,9 tỷ",78 m²,"·
Hồ Chí Minh","Nhà đẹp  diện tích hiếm  hẻm xe tải  vị trí trung tâm  Thông tin chi tiết:  Diện tích: 78m² (đất nở hậu, phong thủy tốt)  Kết cấu: 1 trệt 3 lầu (4 tấm kiên cố)  Công năng:-	4 phòng ngủ rộng ( có 1 phòng VIP rộng rãi) -	5 toilet hiện đại -	1 phòng khách lớn -	Bếp và phòng ăn rộng, thoáng -	Giếng trời đón gió và nắng phía sau  Hẻm rộng: 8m, xe tải vào tận nhà  Hướng: Tây Nam  Nhà xây chắc chắn, thiết kế hiện đại, dọn vào ở ngay. Tiện ích xung quanh...",
"Bán nhà riêng tại 245 Đường 28/3, Hội An, 8 tỷ, 220 m2",8 tỷ,220 m²,"·
Đà Nẵng (Quảng Nam cũ)","Nhà riêng tọa lạc tại 245 Đường 28/3, Phường Thanh Hà, Hội An, Quảng Nam, với diện tích 220 m², giá bán 8 tỷ VND. Đây là một cơ hội tuyệt vời để sở hữu một căn nhà không nội thất, pháp lý đầy đủ. Với vị trí đắc địa và không gian rộng rãi, căn nhà này phù hợp cho những ai đang tìm kiếm một mặt bằng kinh doanh tại Hội An. Hãy liên hệ để được tư vấn miễn phí qua số 0919 850 ***. Đừng bỏ lỡ cơ hội này!",
"Cần bán gấp - Rẻ hơn thị trường 300 triệu nhà 38m2 5 tầng Thạch Bàn - Long Biên chỉ 6,69 tỷ","6,69 tỷ",38 m²,"·
Hà Nội","Vị trí vàng: Ngõ 68 Nguyễn Văn Linh, Long Biên. Nhà cách mặt phố đúng 20m (cực nông, đi lại thuận tiện). Sát cạnh công viên 30ha đang xây dựng & TTTM Aeon Mall Long Biên. Thông số cực đẹp: Diện tích: 38m² x 5 tầng. Thiết kế hiện đại, ban công ngập tràn nắng gió. Tầng 1: Phòng khách, bếp, vệ sinh & sân để xe riêng biệt (rất sạch sẽ). Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ khép kín rộng rãi + ban công thoáng. Tầng 5: Phòng thờ/phòng nhỏ + sân vườn chil...",
"Bán nhà đường Lý Chính Thắng Quận 3, Giá 3Tỷ790, 63m2, sổ chính chủ, đang cho thuê 20tr/tháng","3,79 tỷ",63 m²,"·
Hồ Chí Minh","Chuyển đơn vị công tác, tôi cần bán căn nhà đường Lý Chính Thắng, phường 8, Quận 3 (nay là phường Xuân Hoà) - Nhà đang cho thuê 1 tháng 20 triệu - Diện tích 63m². - Kết cấu 1 trệt 2 lầu và sân thượng, bên trong có 4 phòng ngủ, 4 toilet. - Nhà có sổ hồng, chính tôi đứng tên. - Hẻm rộng, thông thoáng, có nhiều camera an ninh, cao ráo không bị ngập, hàng xóm tri thức, thân thiện. - Vị trí rất đẹp trung tâm của Sài Gòn thông ra Nam Kỳ Khởi Nghĩa, Hai...",
"Bán nhà 2 mặt tiền Đỗ Nhuận, Sơn Kỳ, Tân Phú 44.6m² gần Celadon City đang kinh doanh tốt giá 11.5tỷ","11,5 tỷ","44,6 m²","·
Hồ Chí Minh","Cần bán gấp nhà riêng chính chủ tại đường Đỗ Nhuận, phường Sơn Kỳ, quận Tân Phú. Nhà sở hữu 2 mặt tiền hiếm, vị trí kinh doanh sầm uất, ở gần khu đô thị Celadon City, đang khai thác quán ăn cà phê với thu nhập ổn định. Phù hợp mua ở kết hợp đầu tư sinh lời lâu dài.Thông tin chi tiết căn nhà. Địa chỉ: 15 Đỗ Nhuận, Sơn Kỳ, Tân Phú, TP. HCM. Diện tích đất: 44.6m². Diện tích sử dụng: 175.2m². Kết cấu: Nhà xây kiên cố, thiết kế tối ưu công năng. Hiện ...",
